Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
171,Orlando Robinson,C,23,MIA,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
172,Jeremiah Robinson-Earl,PF,23,NOP,1,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,2.0,.000,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
173,David Roddy,PF,22,PHO,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,D'Angelo Russell,PG,27,LAL,5,5,37.0,5.6,14.6,.384,2.8,8.8,.318,2.8,5.8,.483,.479,0.2,0.4,.500,0.2,2.6,2.8,4.2,0.8,0.2,1.8,1.2,14.2
175,Matt Ryan,SF,26,NOP,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
176,Ben Sheppard,SG,22,IND,17,2,19.7,1.8,4.2,.437,1.1,2.9,.380,0.7,1.2,.571,.570,0.4,0.5,.778,0.6,2.4,3.0,1.0,0.5,0.1,0.6,1.9,5.2
177,Pascal Siakam,PF,29,IND,17,17,35.5,9.2,17.1,.541,0.8,2.8,.298,8.4,14.3,.588,.566,2.3,3.7,.619,2.5,5.1,7.5,3.8,0.8,0.4,1.1,2.8,21.6
178,Jericho Sims,C,25,NYK,5,0,5.4,0.4,0.4,1.000,0.0,0.0,,0.4,0.4,1.000,1.000,0.6,0.8,.750,0.6,1.0,1.6,0.2,0.4,0.2,0.0,0.2,1.4
179,Jalen Smith,C,23,IND,7,0,6.0,0.4,1.1,.375,0.3,0.6,.500,0.1,0.6,.250,.500,0.7,1.1,.625,1.0,1.0,2.0,0.3,0.3,0.1,0.6,1.1,1.9
180,Jaden Springer,SG,21,BOS,4,0,5.5,0.5,0.8,.667,0.0,0.0,,0.5,0.8,.667,.667,0.0,0.0,,0.0,0.8,0.8,0.3,0.0,0.3,0.5,0.3,1.0
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
181,Julian Strawther,SF,21,DEN,3,0,5.3,0.7,2.0,.333,0.3,1.3,.250,0.3,0.7,.500,.417,0.7,1.3,.500,0.0,0.7,0.7,0.0,0.3,0.0,0.3,1.0,2.3
182,Max Strus,SF,27,CLE,12,12,36.2,3.5,8.6,.408,2.1,6.0,.347,1.4,2.6,.548,.529,0.4,0.4,1.000,0.7,4.7,5.3,2.9,0.8,0.0,1.3,3.4,9.5
183,Jalen Suggs,SG,22,ORL,7,7,33.1,4.7,11.7,.402,2.0,6.9,.292,2.7,4.9,.559,.488,3.3,4.3,.767,1.6,3.6,5.1,3.3,1.3,0.4,2.9,2.6,14.7
184,Jayson Tatum,PF,25,BOS,19,19,40.4,8.4,19.6,.427,2.1,7.3,.283,6.3,12.3,.513,.480,6.2,7.2,.861,0.9,8.8,9.7,6.3,1.1,0.7,2.6,2.8,25.0
185,Daniel Theis,C,31,LAC,1,0,4.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
186,Isaiah Thomas,PG,34,PHO,1,0,4.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
187,Tristan Thompson,C,32,CLE,10,0,8.7,0.7,1.6,.438,0.0,0.0,,0.7,1.6,.438,.438,0.1,0.2,.500,1.0,1.0,2.0,1.0,0.1,0.5,0.2,0.9,1.5
188,Xavier Tillman Sr.,PF,25,BOS,8,0,8.6,0.6,1.0,.625,0.1,0.1,1.000,0.5,0.9,.571,.688,0.1,0.1,1.000,0.5,1.3,1.8,0.4,0.4,0.4,0.4,0.9,1.5
189,Obi Toppin,PF,25,IND,17,0,20.2,4.3,7.9,.541,1.2,3.3,.357,3.1,4.6,.671,.615,1.1,1.5,.760,0.6,3.8,4.4,1.7,0.4,0.4,0.8,1.2,10.9
190,Karl-Anthony Towns,PF,28,MIN,16,16,32.6,6.8,14.5,.466,1.9,5.2,.361,4.9,9.3,.523,.530,3.7,4.3,.855,2.2,6.8,9.0,2.6,0.8,0.2,1.7,3.4,19.1
191,P.J. Tucker,PF,38,LAC,2,1,15.5,2.0,3.0,.667,1.5,2.0,.750,0.5,1.0,.500,.917,0.0,0.0,,1.5,0.0,1.5,0.0,0.0,0.0,1.5,3.0,5.5
192,Myles Turner,C,27,IND,17,17,32.4,6.2,12.1,.517,2.3,5.1,.453,3.9,7.0,.563,.612,2.2,2.9,.760,1.5,5.1,6.6,2.1,0.5,1.5,1.9,2.6,17.0
